strike,moneyness,market_mid,yf_iv,inTheMoney,bs_price_yf_iv,error_yf_iv,our_iv,iv_diff,bs_price_our_iv,error_our_iv,delta,gamma,theta,vega,rho,iv_error
350.0,0.76,0.535,0.4774,False,0.8056,0.2706,,,,,,,,,,"Vega is approx 0 at iteration 0, Newton Raphson cannot contunue.Try another intiial guess or check param values"
355.0,0.7709,0.455,0.4321,False,0.5847,0.1297,,,,,,,,,,"Vega is approx 0 at iteration 0, Newton Raphson cannot contunue.Try another intiial guess or check param values"
360.0,0.7817,0.64,0.4247,False,0.6931,0.0531,,,,,,,,,,"Vega is approx 0 at iteration 0, Newton Raphson cannot contunue.Try another intiial guess or check param values"
365.0,0.7926,0.755,0.4157,False,0.8033,0.0483,,,,,,,,,,"Vega is approx 0 at iteration 0, Newton Raphson cannot contunue.Try another intiial guess or check param values"
370.0,0.8034,0.83,0.3984,False,0.8359,0.0059,,,,,,,,,,"Vega is approx 0 at iteration 0, Newton Raphson cannot contunue.Try another intiial guess or check param values"
375.0,0.8143,1.015,0.3949,False,1.0419,0.0269,,,,,,,,,,"Vega is approx 0 at iteration 0, Newton Raphson cannot contunue.Try another intiial guess or check param values"
380.0,0.8252,1.14,0.3798,False,1.1187,-0.0213,,,,,,,,,,"Vega is approx 0 at iteration 0, Newton Raphson cannot contunue.Try another intiial guess or check param values"
385.0,0.836,1.35,0.3718,False,1.3171,-0.0329,,,,,,,,,,"Vega is approx 0 at iteration 0, Newton Raphson cannot contunue.Try another intiial guess or check param values"
390.0,0.8469,1.585,0.363,False,1.5337,-0.0513,,,,,,,,,,"Vega is approx 0 at iteration 0, Newton Raphson cannot contunue.Try another intiial guess or check param values"
395.0,0.8577,1.92,0.3578,False,1.859,-0.061,,,,,,,,,,"Vega is approx 0 at iteration 0, Newton Raphson cannot contunue.Try another intiial guess or check param values"
400.0,0.8686,2.235,0.345,False,2.0698,-0.1652,,,,,,,,,,"Vega is approx 0 at iteration 0, Newton Raphson cannot contunue.Try another intiial guess or check param values"
405.0,0.8794,2.785,0.3438,False,2.6058,-0.1792,,,,,,,,,,"Vega is approx 0 at iteration 0, Newton Raphson cannot contunue.Try another intiial guess or check param values"
410.0,0.8903,3.325,0.3405,False,3.1892,-0.1358,,,,,,,,,,"Vega is approx 0 at iteration 1, Newton Raphson cannot contunue.Try another intiial guess or check param values"
415.0,0.9012,3.975,0.3343,False,3.7786,-0.1964,,,,,,,,,,"Vega is approx 0 at iteration 1, Newton Raphson cannot contunue.Try another intiial guess or check param values"
420.0,0.912,4.775,0.3294,False,4.5092,-0.2658,,,,,,,,,,"Vega is approx 0 at iteration 1, Newton Raphson cannot contunue.Try another intiial guess or check param values"
425.0,0.9229,5.775,0.3273,False,5.4763,-0.2987,,,,,,,,,,"Vega is approx 0 at iteration 2, Newton Raphson cannot contunue.Try another intiial guess or check param values"
430.0,0.9337,6.875,0.3241,False,6.5441,-0.3309,0.3315,0.0075,6.875,0.0,-0.2306,0.006255,-0.1886,0.4458,-0.1146,
435.0,0.9446,8.2,0.3226,False,7.854,-0.346,0.3298,0.0072,8.2,0.0,-0.2643,0.006764,-0.201,0.4796,-0.1317,
440.0,0.9554,9.575,0.3214,False,9.3617,-0.2133,0.3256,0.0042,9.575,0.0,-0.2992,0.007273,-0.2095,0.5092,-0.1494,
445.0,0.9663,11.325,0.3213,False,11.1175,-0.2075,0.3252,0.0039,11.325,0.0,-0.3379,0.007667,-0.2191,0.536,-0.1692,
450.0,0.9772,13.525,0.3228,False,13.1715,-0.3535,0.3291,0.0063,13.525,0.0,-0.3791,0.007884,-0.2296,0.5579,-0.1907,
455.0,0.988,15.775,0.3241,False,15.4306,-0.3444,0.3301,0.006,15.775,0.0,-0.42,0.008076,-0.235,0.5731,-0.212,
460.0,0.9989,18.125,0.3211,False,17.6494,-0.4756,0.3292,0.0082,18.125,0.0,-0.461,0.008225,-0.2363,0.5821,-0.2336,
470.0,1.0206,23.625,0.3283,True,23.4852,-0.1398,0.3307,0.0024,23.625,0.0,-0.5423,0.008182,-0.2329,0.5816,-0.2771,
475.0,1.0314,26.75,0.3252,True,26.3198,-0.4302,0.3327,0.0075,26.75,0.0,-0.5811,0.008007,-0.2285,0.5728,-0.2984,
480.0,1.0423,29.925,0.3258,True,29.5562,-0.3688,0.3325,0.0066,29.925,0.0,-0.6194,0.007815,-0.2198,0.5585,-0.3195,
500.0,1.0857,45.0,0.3392,True,44.7035,-0.2965,0.3456,0.0063,45.0,0.0,-0.7452,0.006335,-0.1815,0.4706,-0.3935,
