contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,mid,bid_ask_spread,moneyness
MSFT260710C00350000,2026-05-29 15:24:10+00:00,350.0,96.0,111.2,114.5,0.0,0.0,1.0,1,0.5701336932373047,True,REGULAR,USD,112.85,3.299999999999997,0.7600104230000869
MSFT260710C00355000,2026-05-29 14:16:17+00:00,355.0,87.4,106.4,109.65,0.0,0.0,1.0,2,0.5559126440429689,True,REGULAR,USD,108.025,3.25,0.770867714757231
MSFT260710C00370000,2026-06-01 13:55:26+00:00,370.0,96.35,91.8,95.05,23.349998,31.986298,1.0,2,0.5037891418457032,True,REGULAR,USD,93.425,3.25,0.8034395900286633
MSFT260710C00380000,2026-05-28 18:27:16+00:00,380.0,50.94,82.3,85.45,0.0,0.0,,1,0.5319260675048829,True,REGULAR,USD,83.875,3.1500000000000057,0.8251541735429515
MSFT260710C00385000,2026-05-28 15:04:18+00:00,385.0,45.3,77.5,80.7,0.0,0.0,,1,0.5139819110107422,True,REGULAR,USD,79.1,3.200000000000003,0.8360114653000956
MSFT260710C00390000,2026-05-28 15:05:01+00:00,390.0,41.58,72.85,76.0,0.0,0.0,,1,0.4970143072509766,True,REGULAR,USD,74.425,3.1500000000000057,0.8468687570572396
MSFT260710C00395000,2026-05-29 19:59:00+00:00,395.0,58.72,68.05,71.35,0.0,0.0,12.0,12,0.48077911804199214,True,REGULAR,USD,69.69999999999999,3.299999999999997,0.8577260488143837
MSFT260710C00400000,2026-06-01 19:54:49+00:00,400.0,65.3,63.55,66.75,16.970001,35.112766,20.0,105,0.4650932397460938,True,REGULAR,USD,65.15,3.200000000000003,0.8685833405715279
MSFT260710C00405000,2026-06-01 19:42:19+00:00,405.0,63.2,59.1,62.25,18.0,39.82301,5.0,5,0.4510552941894531,True,REGULAR,USD,60.675,3.1499999999999986,0.879440632328672
MSFT260710C00410000,2026-06-01 13:56:06+00:00,410.0,58.68,54.7,57.85,22.380001,61.652893,1.0,14,0.43826855682373045,True,REGULAR,USD,56.275000000000006,3.1499999999999986,0.8902979240858161
MSFT260710C00415000,2026-06-01 19:26:58+00:00,415.0,54.3,50.45,53.55,17.579998,47.87581,13.0,7,0.42639733764648446,True,REGULAR,USD,52.0,3.0999999999999943,0.9011552158429602
MSFT260710C00420000,2026-06-01 18:52:40+00:00,420.0,47.6,46.25,49.4,15.449997,48.055977,8.0,21,0.4162350857543945,True,REGULAR,USD,47.825,3.1499999999999986,0.9120125076001042
MSFT260710C00425000,2026-06-01 19:27:34+00:00,425.0,45.95,42.4,45.35,13.850002,43.146427,17.0,19,0.4062559375,True,REGULAR,USD,43.875,2.950000000000003,0.9228697993572483
MSFT260710C00430000,2026-06-01 19:27:41+00:00,430.0,42.0,38.35,41.55,16.33,63.615116,181.0,167,0.3992674819946289,True,REGULAR,USD,39.95,3.1999999999999957,0.9337270911143924
MSFT260710C00435000,2026-06-01 19:57:38+00:00,435.0,36.4,35.2,37.9,13.650002,60.000004,28.0,115,0.39276730285644534,True,REGULAR,USD,36.55,2.6999999999999957,0.9445843828715366
MSFT260710C00440000,2026-06-01 19:56:02+00:00,440.0,33.37,31.4,34.2,8.889999,36.315357,89.0,313,0.3828491891479492,True,REGULAR,USD,32.8,2.8000000000000043,0.9554416746286807
MSFT260710C00445000,2026-06-01 19:53:54+00:00,445.0,29.68,28.6,31.1,8.720001,41.60306,254.0,137,0.3812012564086914,True,REGULAR,USD,29.85,2.5,0.9662989663858248
MSFT260710C00450000,2026-06-01 19:50:42+00:00,450.0,26.25,25.9,27.0,7.25,38.157894,116.0,245,0.3594424407958984,True,REGULAR,USD,26.45,1.1000000000000014,0.9771562581429688
MSFT260710C00455000,2026-06-01 19:46:10+00:00,455.0,24.0,22.25,25.05,7.629999,46.609646,93.0,213,0.37177141906738287,True,REGULAR,USD,23.65,2.8000000000000007,0.9880135499001129
MSFT260710C00460000,2026-06-01 19:50:43+00:00,460.0,21.95,20.5,22.4,7.200001,48.813564,247.0,172,0.3690553817749024,True,REGULAR,USD,21.45,1.8999999999999986,0.998870841657257
MSFT260710C00465000,2026-06-01 19:58:29+00:00,465.0,19.35,18.05,19.7,7.160001,58.736675,467.0,159,0.3625246853637696,False,REGULAR,USD,18.875,1.6499999999999986,1.009728133414401
MSFT260710C00470000,2026-06-01 19:49:46+00:00,470.0,17.6,15.9,17.8,6.700001,61.4679,135.0,119,0.36640037902832034,False,REGULAR,USD,16.85,1.9000000000000004,1.0205854251715452
MSFT260710C00475000,2026-06-01 19:56:53+00:00,475.0,15.75,14.1,15.15,6.75,75.0,79.0,72,0.35468174621582027,False,REGULAR,USD,14.625,1.0500000000000007,1.0314427169286893
MSFT260710C00480000,2026-06-01 19:45:38+00:00,480.0,13.44,12.4,13.7,5.37,66.542755,219.0,86,0.3603884762573242,False,REGULAR,USD,13.05,1.299999999999999,1.0423000086858334
MSFT260710C00485000,2026-06-01 19:50:49+00:00,485.0,11.51,10.85,12.45,4.9300003,74.92402,96.0,29,0.3670717590332031,False,REGULAR,USD,11.649999999999999,1.5999999999999996,1.0531573004429775
MSFT260710C00490000,2026-06-01 19:59:07+00:00,490.0,10.13,9.6,10.5,4.38,76.17391,170.0,36,0.358404853515625,False,REGULAR,USD,10.05,0.9000000000000004,1.0640145922001216
MSFT260710C00495000,2026-06-01 19:26:16+00:00,495.0,9.65,8.35,9.9,5.7199993,145.54704,96.0,65,0.3723207299804688,False,REGULAR,USD,9.125,1.5500000000000007,1.0748718839572657
MSFT260710C00500000,2026-06-01 19:53:25+00:00,500.0,7.45,7.45,8.35,3.1999998,75.29411,618.0,75,0.3656069299316406,False,REGULAR,USD,7.9,0.8999999999999995,1.0857291757144099
MSFT260710C00505000,2026-06-01 19:25:37+00:00,505.0,7.55,6.5,8.25,4.7000003,164.9123,64.0,14,0.386175571899414,False,REGULAR,USD,7.375,1.75,1.096586467471554
MSFT260710C00510000,2026-06-01 19:43:06+00:00,510.0,6.5,5.55,6.55,2.7,71.052635,85.0,8,0.37085590087890624,False,REGULAR,USD,6.05,1.0,1.107443759228698
MSFT260710C00515000,2026-06-01 19:50:51+00:00,515.0,5.35,5.05,6.3,2.55,91.07143,12.0,2,0.385473674621582,False,REGULAR,USD,5.675,1.25,1.1183010509858422
MSFT260710C00520000,2026-06-01 19:17:29+00:00,520.0,5.0,4.4,5.5,2.67,114.59228,56.0,32,0.38565677825927724,False,REGULAR,USD,4.95,1.0999999999999996,1.1291583427429863
MSFT260710C00525000,2026-06-01 19:23:47+00:00,525.0,4.32,3.85,4.95,2.7900002,182.35297,36.0,3,0.39014281738281253,False,REGULAR,USD,4.4,1.1,1.1400156345001304
MSFT260710C00530000,2026-06-01 19:25:25+00:00,530.0,4.05,3.4,4.45,2.3400002,136.84212,38.0,7,0.3943542010498047,False,REGULAR,USD,3.925,1.0500000000000003,1.1508729262572743
MSFT260710C00535000,2026-06-01 16:23:05+00:00,535.0,3.35,3.0,4.1,1.9599999,141.00719,34.0,3,0.401373173828125,False,REGULAR,USD,3.55,1.0999999999999996,1.1617302180144184
