strike,moneyness,market_mid,sigma,bs_price,plain_price,plain_stderr,plain_ci_lo,plain_ci_hi,plain_err_bs,anti_price,anti_stderr,anti_err_bs,cv_price,cv_stderr,cv_err_bs,qmc_price,qmc_stderr,qmc_err_bs
350.0,0.76,112.85,0.5701,113.7706,113.7685,0.181985,113.4118,114.1252,-0.0022,113.8411,0.037779,0.0705,113.7839,0.018868,0.0132,113.7706,0.15832,-0.0
355.0,0.7709,108.025,0.5559,108.9443,108.9418,0.176685,108.5955,109.2881,-0.0025,109.0136,0.037162,0.0693,108.958,0.019456,0.0137,108.9442,0.153714,-0.0
370.0,0.8034,93.425,0.5038,94.3548,94.3511,0.158013,94.0414,94.6608,-0.0037,94.4186,0.034077,0.0638,94.3695,0.020318,0.0147,94.3548,0.137487,-0.0
380.0,0.8252,83.875,0.5319,86.23,86.2365,0.162303,85.9184,86.5546,0.0065,86.3059,0.042138,0.076,86.2531,0.027092,0.0232,86.2299,0.141194,-0.0
385.0,0.836,79.1,0.514,81.4772,81.4839,0.155657,81.1788,81.789,0.0067,81.5508,0.041111,0.0736,81.5012,0.027354,0.024,81.4771,0.135418,-0.0
390.0,0.8469,74.425,0.497,76.7709,76.7784,0.149242,76.4859,77.0709,0.0074,76.8426,0.040276,0.0716,76.7961,0.02769,0.0252,76.7709,0.129842,-0.0
395.0,0.8577,69.7,0.4808,72.1108,72.1191,0.142984,71.8388,72.3993,0.0083,72.1803,0.03959,0.0695,72.1371,0.028076,0.0263,72.1108,0.1244,-0.0
400.0,0.8686,65.15,0.4651,67.4979,67.5062,0.136826,67.2381,67.7744,0.0083,67.5651,0.039017,0.0672,67.5245,0.028492,0.0266,67.4979,0.119043,-0.0
405.0,0.8794,60.675,0.4511,62.9788,62.9867,0.131027,62.7299,63.2435,0.0079,63.044,0.038724,0.0652,63.0049,0.029048,0.0262,62.9787,0.113994,-0.0
410.0,0.8903,56.275,0.4383,58.554,58.5611,0.125467,58.3152,58.807,0.0071,58.6175,0.038635,0.0635,58.5793,0.029696,0.0253,58.5539,0.10915,-0.0
415.0,0.9012,52.0,0.4264,54.2249,54.2327,0.120043,53.9975,54.468,0.0078,54.2879,0.038685,0.063,54.2507,0.030387,0.0258,54.2249,0.104425,-0.0
420.0,0.912,47.825,0.4162,50.0397,50.0493,0.114927,49.824,50.2746,0.0096,50.1022,0.038977,0.0624,50.0669,0.031192,0.0272,50.0397,0.099969,-0.0
