method,n_paths,mean_error,std_error,mean_stderr
Plain MC,100,3.036137087247054,2.14037235097866,3.4204648846743173
Plain MC,156,2.2160647633042303,1.3261943657410182,2.770713338731704
Plain MC,245,1.8821099495737292,0.9848297887314613,2.2483383715420517
Plain MC,383,1.7125286152351662,1.1200123887270796,1.8113708432277744
Plain MC,600,1.3573990563841083,0.9284254852188072,1.4389572733298575
Plain MC,940,1.1511233807383716,0.645310187778138,1.1386360432691331
Plain MC,1472,0.9644739784120693,0.6208905084861274,0.9075311154396604
Plain MC,2305,0.6989095951215307,0.5012179900383863,0.7228667100984105
Plain MC,3609,0.43687092123017807,0.38937484050904964,0.574521511229689
Plain MC,5651,0.33179886190491154,0.24600477294017253,0.46126443902235637
Plain MC,8847,0.2804098133921156,0.17215519367879775,0.36982610173214014
Plain MC,13851,0.20239671533304177,0.16681153569691545,0.2954754394968167
Plain MC,21686,0.20255364708003634,0.12627509157951308,0.2362035042851021
Plain MC,33952,0.15978575497123088,0.12139488906904704,0.1884651677946677
Plain MC,53156,0.10507727220427417,0.0963541420786106,0.15043875894472408
Plain MC,83222,0.09322272417321997,0.07758908273471933,0.12021658887690655
Plain MC,130293,0.07429116509209024,0.05386776787416395,0.0959199445758378
Plain MC,203988,0.06171085796322539,0.05629405341534051,0.07669064103913774
Plain MC,319365,0.04419892060675134,0.04116421525190492,0.061240270707465475
Plain MC,499999,0.03874986413710104,0.02443337116299583,0.04893611440428778
Antithetic,100,1.8803388726574357,1.3823869059209013,1.7930903818360984
Antithetic,156,1.422602738447875,1.0572387702402044,1.4696303671808657
Antithetic,245,1.0560495564273513,0.7103432106816056,1.184707815084688
Antithetic,383,0.7689922497204783,0.5080803405206881,0.9533288389749799
Antithetic,600,0.5192042428897577,0.3616190958509699,0.7556150880009198
Antithetic,940,0.4324600776613501,0.2646046477607003,0.6000208584569606
Antithetic,1472,0.3633081997549515,0.24983556543513877,0.48206592541850596
Antithetic,2305,0.27212243651546497,0.1790923203642681,0.38534232515705585
Antithetic,3609,0.1690703922144749,0.14770997119562293,0.30856279399373415
Antithetic,5651,0.0899017530638036,0.06146451335054259,0.24655558034858743
Antithetic,8847,0.08797457615685882,0.07072914807332628,0.1972204078714985
Antithetic,13851,0.08235809539613352,0.054342934945963345,0.15780341700586722
Antithetic,21686,0.08862564023403317,0.06482339708904744,0.1261934907142565
Antithetic,33952,0.06499345379186584,0.043116260260575905,0.10068458214635496
Antithetic,53156,0.059078378282526954,0.03827828246591569,0.08035247612382325
Antithetic,83222,0.05348801448643599,0.035345372646044336,0.06427015696195022
Antithetic,130293,0.05387025148224988,0.032311098495380414,0.051298627642317705
Antithetic,203988,0.0363175901111615,0.025414358213240645,0.04099013109403851
Antithetic,319365,0.021400821386105662,0.023318085059384652,0.03273848225075366
Antithetic,499999,0.017946309878173375,0.013739214949500393,0.026167180740009028
Control Variate,100,1.6899663024742049,1.26570870298889,1.563923460999185
Control Variate,156,1.3289589380207472,0.9170768545730337,1.2817522826331662
Control Variate,245,0.883303543925572,0.6674680441505658,1.0337124296639746
Control Variate,383,0.6628910286731099,0.4230627572803796,0.8342173888653858
Control Variate,600,0.46411646122424416,0.2952275882992814,0.6624267974327939
Control Variate,940,0.3485160585338773,0.24855373014325616,0.5259086932257462
Control Variate,1472,0.31869868696351156,0.22060528692605316,0.4219811626516439
Control Variate,2305,0.24931744260487415,0.13221017814462385,0.337417118983506
Control Variate,3609,0.14939430795027847,0.1398619622627853,0.2702076678905248
Control Variate,5651,0.08895922548869564,0.06413021567533823,0.21597314273918414
Control Variate,8847,0.08742613653425527,0.07267426839578571,0.17274966371323255
Control Variate,13851,0.07599857867030053,0.05399846316046066,0.1382391883733901
Control Variate,21686,0.07481398373255553,0.0552604949703714,0.11051265651004653
Control Variate,33952,0.05556503736072903,0.04103348993089189,0.0881737266839849
Control Variate,53156,0.05246656189730909,0.03311437423330714,0.07039002592956874
Control Variate,83222,0.0452674796562827,0.032141040302172616,0.05629861759045548
Control Variate,130293,0.047946355118572134,0.028478415417948752,0.04493727827728212
Control Variate,203988,0.031570259162767185,0.022311565543292455,0.03590641109051403
Control Variate,319365,0.019733226623655044,0.019004941345904504,0.02868189138637045
Control Variate,499999,0.015620734881584516,0.012213208913353943,0.022924979930778733
