strike,moneyness,market_mid,sigma,bs_price,plain_price,plain_stderr,plain_ci_lo,plain_ci_hi,plain_err_bs,anti_price,anti_stderr,anti_err_bs,cv_price,cv_stderr,cv_err_bs,qmc_price,qmc_stderr,qmc_err_bs
350.0,0.76,0.535,0.4774,0.8056,0.8081,0.011796,0.785,0.8312,0.0025,0.8206,0.008333,0.0151,0.8076,0.011181,0.002,0.8056,0.01026,-0.0
355.0,0.7709,0.455,0.4321,0.5847,0.5879,0.009581,0.5691,0.6067,0.0032,0.5973,0.006794,0.0126,0.5875,0.009147,0.0028,0.5847,0.008328,-0.0
360.0,0.7817,0.64,0.4247,0.6931,0.6956,0.010491,0.6751,0.7162,0.0026,0.7065,0.007421,0.0135,0.6951,0.009951,0.0021,0.693,0.009123,-0.0
365.0,0.7926,0.755,0.4157,0.8033,0.8057,0.011328,0.7835,0.8279,0.0024,0.8177,0.007994,0.0145,0.8051,0.010673,0.0018,0.8032,0.009855,-0.0
370.0,0.8034,0.83,0.3984,0.8359,0.8388,0.01144,0.8164,0.8612,0.0029,0.8508,0.008065,0.0149,0.8381,0.010738,0.0022,0.8359,0.009955,-0.0
375.0,0.8143,1.015,0.3949,1.0419,1.0475,0.012916,1.0222,1.0729,0.0056,1.0593,0.009068,0.0174,1.0467,0.011988,0.0048,1.0419,0.011244,-0.0
380.0,0.8252,1.14,0.3798,1.1187,1.1255,0.013283,1.0995,1.1515,0.0068,1.1368,0.009308,0.0181,1.1246,0.012252,0.0059,1.1187,0.011564,-0.0
385.0,0.836,1.35,0.3718,1.3171,1.3263,0.014468,1.298,1.3547,0.0093,1.337,0.010098,0.02,1.3253,0.013196,0.0082,1.3171,0.012597,-0.0
390.0,0.8469,1.585,0.363,1.5337,1.5443,0.015645,1.5136,1.5749,0.0105,1.5553,0.010872,0.0216,1.543,0.014102,0.0093,1.5337,0.013621,-0.0
395.0,0.8577,1.92,0.3578,1.859,1.871,0.017353,1.837,1.905,0.012,1.8828,0.011989,0.0238,1.8695,0.015398,0.0105,1.859,0.015108,-0.0
400.0,0.8686,2.235,0.345,2.0698,2.083,0.018211,2.0473,2.1187,0.0132,2.0946,0.012526,0.0247,2.0814,0.015959,0.0115,2.0698,0.015856,-0.0
405.0,0.8794,2.785,0.3438,2.6058,2.6216,0.020695,2.581,2.6621,0.0158,2.6328,0.014111,0.0271,2.6195,0.017737,0.0137,2.6058,0.018021,-0.0
410.0,0.8903,3.325,0.3405,3.1892,3.2074,0.023094,3.1622,3.2527,0.0183,3.2179,0.015597,0.0287,3.205,0.019337,0.0158,3.1892,0.020112,-0.0
415.0,0.9012,3.975,0.3343,3.7786,3.7998,0.025216,3.7504,3.8493,0.0212,3.8085,0.016861,0.0299,3.797,0.020618,0.0184,3.7786,0.021963,-0.0
420.0,0.912,4.775,0.3294,4.5092,4.5318,0.027661,4.4776,4.586,0.0226,4.5397,0.018269,0.0304,4.5285,0.02201,0.0192,4.5092,0.024093,-0.0
425.0,0.9229,5.775,0.3273,5.4763,5.4996,0.03071,5.4394,5.5598,0.0233,5.5078,0.019963,0.0315,5.4957,0.023665,0.0194,5.4763,0.026753,-0.0
430.0,0.9337,6.875,0.3241,6.5441,6.5698,0.033714,6.5037,6.6359,0.0257,6.5769,0.021521,0.0328,6.5653,0.025102,0.0212,6.5441,0.029376,-0.0
435.0,0.9446,8.2,0.3226,7.854,7.8829,0.037137,7.8101,7.9557,0.0289,7.8864,0.023178,0.0324,7.8777,0.026601,0.0236,7.854,0.032363,-0.0
440.0,0.9554,9.575,0.3214,9.3617,9.3932,0.040721,9.3134,9.473,0.0314,9.3924,0.024737,0.0307,9.3872,0.027973,0.0254,9.3617,0.035493,-0.0
445.0,0.9663,11.325,0.3213,11.1175,11.1519,0.044559,11.0645,11.2392,0.0344,11.1471,0.026184,0.0297,11.145,0.029252,0.0276,11.1175,0.038844,-0.0
450.0,0.9772,13.525,0.3228,13.1715,13.2091,0.048727,13.1136,13.3046,0.0377,13.2004,0.027481,0.029,13.2015,0.03047,0.03,13.1715,0.042485,-0.0
455.0,0.988,15.775,0.3241,15.4306,15.4738,0.052881,15.3701,15.5774,0.0432,15.46,0.028365,0.0293,15.4652,0.031417,0.0346,15.4306,0.046115,-0.0
460.0,0.9989,18.125,0.3211,17.6494,17.6972,0.056278,17.5868,17.8075,0.0478,17.6776,0.028398,0.0282,17.6877,0.031677,0.0383,17.6494,0.049085,-0.0
470.0,1.0206,23.625,0.3283,23.4852,23.5456,0.065149,23.4179,23.6733,0.0604,23.5145,0.027826,0.0294,23.5343,0.032731,0.0492,23.4852,0.05684,-0.0
475.0,1.0314,26.75,0.3252,26.3198,26.3845,0.068309,26.2506,26.5183,0.0647,26.3498,0.026427,0.03,26.3724,0.032211,0.0526,26.3198,0.059604,-0.0
480.0,1.0423,29.925,0.3258,29.5562,29.6257,0.071952,29.4846,29.7667,0.0695,29.5871,0.025049,0.0309,29.6127,0.031823,0.0565,29.5562,0.06279,-0.0
500.0,1.0857,45.0,0.3392,44.7035,44.7867,0.086869,44.6164,44.957,0.0832,44.7354,0.019257,0.0318,44.7708,0.029684,0.0673,44.7035,0.075823,-0.0
