contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,mid,bid_ask_spread,moneyness
MSFT260710P00350000,2026-06-01 15:59:28+00:00,350.0,0.43,0.08,0.99,-0.13,-23.214285,1,3,0.4774222180175781,False,REGULAR,USD,0.535,0.91,0.7600104230000869
MSFT260710P00355000,2026-05-29 18:00:35+00:00,355.0,0.56,0.18,0.73,0.0,0.0,3,23,0.4321345849609375,False,REGULAR,USD,0.45499999999999996,0.55,0.770867714757231
MSFT260710P00360000,2026-06-01 14:00:55+00:00,360.0,0.57,0.42,0.86,-0.110000014,-16.176474,3,5,0.4246883703613281,False,REGULAR,USD,0.64,0.44,0.781725006514375
MSFT260710P00365000,2026-06-01 18:42:14+00:00,365.0,0.67,0.52,0.99,-0.13999999,-17.283949,5,9,0.41565525756835936,False,REGULAR,USD,0.755,0.47,0.7925822982715192
MSFT260710P00370000,2026-05-29 16:44:42+00:00,370.0,0.7,0.63,1.03,-0.40000004,-36.36364,11,11,0.398443515625,False,REGULAR,USD,0.8300000000000001,0.4,0.8034395900286633
MSFT260710P00375000,2026-06-01 18:42:14+00:00,375.0,0.93,0.76,1.27,-0.40000004,-30.07519,13,9,0.39490351196289064,False,REGULAR,USD,1.0150000000000001,0.51,0.8142968817858074
MSFT260710P00380000,2026-06-01 18:40:46+00:00,380.0,1.04,0.92,1.36,-0.46000004,-30.66667,383,38,0.3797669445800781,False,REGULAR,USD,1.1400000000000001,0.44000000000000006,0.8251541735429515
MSFT260710P00385000,2026-06-01 19:58:51+00:00,385.0,1.35,1.11,1.59,-0.39,-22.413794,57,40,0.37183245361328127,False,REGULAR,USD,1.35,0.48,0.8360114653000956
MSFT260710P00390000,2026-06-01 18:06:13+00:00,390.0,1.64,1.33,1.84,-0.40999997,-19.999998,77,47,0.36304347900390627,False,REGULAR,USD,1.585,0.51,0.8468687570572396
MSFT260710P00395000,2026-06-01 17:19:37+00:00,395.0,1.79,1.63,2.21,-0.70000005,-28.112453,29,75,0.3577945080566406,False,REGULAR,USD,1.92,0.5800000000000001,0.8577260488143837
MSFT260710P00400000,2026-06-01 19:45:53+00:00,400.0,2.25,2.02,2.45,-0.79999995,-26.229506,41,69,0.34503828796386715,False,REGULAR,USD,2.2350000000000003,0.43000000000000016,0.8685833405715279
MSFT260710P00405000,2026-06-01 19:58:51+00:00,405.0,2.79,2.52,3.05,-0.8800001,-23.978205,97,96,0.3437565625,False,REGULAR,USD,2.785,0.5299999999999998,0.879440632328672
MSFT260710P00410000,2026-06-01 19:40:48+00:00,410.0,3.15,2.95,3.7,-1.4699998,-31.81818,64,93,0.34052173156738286,False,REGULAR,USD,3.325,0.75,0.8902979240858161
MSFT260710P00415000,2026-06-01 18:35:29+00:00,415.0,4.05,3.6,4.35,-2.0099998,-33.168312,60,46,0.33432672515869144,False,REGULAR,USD,3.9749999999999996,0.7499999999999996,0.9011552158429602
MSFT260710P00420000,2026-06-01 19:56:58+00:00,420.0,4.79,4.4,5.15,-1.9499998,-28.93175,117,113,0.3293524096679687,False,REGULAR,USD,4.775,0.75,0.9120125076001042
MSFT260710P00425000,2026-06-01 19:39:11+00:00,425.0,5.25,5.35,6.2,-2.4499998,-31.81818,120,134,0.32730775238037113,False,REGULAR,USD,5.775,0.8500000000000005,0.9228697993572483
MSFT260710P00430000,2026-06-01 19:37:13+00:00,430.0,6.41,6.4,7.35,-2.5900002,-28.777779,103,38,0.3240729214477538,False,REGULAR,USD,6.875,0.9499999999999993,0.9337270911143924
MSFT260710P00435000,2026-06-01 18:47:26+00:00,435.0,8.07,7.65,8.75,-4.59,-36.255924,43,28,0.32260809234619137,False,REGULAR,USD,8.2,1.0999999999999996,0.9445843828715366
MSFT260710P00440000,2026-06-01 18:47:26+00:00,440.0,9.6,8.8,10.35,-5.0,-34.246574,81,1015,0.3214484359741211,False,REGULAR,USD,9.575,1.549999999999999,0.9554416746286807
MSFT260710P00445000,2026-06-01 17:22:58+00:00,445.0,11.77,10.45,12.2,-3.5,-22.92076,26,6,0.32129584960937496,False,REGULAR,USD,11.325,1.75,0.9662989663858248
MSFT260710P00450000,2026-06-01 19:16:20+00:00,450.0,13.57,12.7,14.35,-6.67,-32.954544,72,77,0.3227911959838866,False,REGULAR,USD,13.524999999999999,1.6500000000000004,0.9771562581429688
MSFT260710P00455000,2026-06-01 19:52:05+00:00,455.0,15.8,14.85,16.7,-7.3,-31.60173,24,16,0.324103438720703,False,REGULAR,USD,15.774999999999999,1.8499999999999996,0.9880135499001129
MSFT260710P00460000,2026-06-01 17:01:30+00:00,460.0,17.5,17.25,19.0,-8.66,-33.103977,29,1,0.3210517114257812,False,REGULAR,USD,18.125,1.75,0.998870841657257
MSFT260710P00470000,2026-06-01 15:38:34+00:00,470.0,22.56,22.25,25.0,-11.140001,-33.05638,23,5,0.3282537878417968,True,REGULAR,USD,23.625,2.75,1.0205854251715452
