strike,moneyness,market_mid,sigma,bs_price,iqae_price,iqae_stderr,iqae_ci_lo,iqae_ci_hi,iqae_err_bs,iqae_err_mkt,amplitude,n_oracle,circuit_depth,noise_level
350.0,0.76,112.85,0.5701,113.7706,0.0639,0.065196,0.0,0.2556,-113.7067,-112.7861,4.3e-05,65000,57,0.0
355.0,0.7709,108.025,0.5559,108.9443,1.1435,0.41984,0.4686,2.1143,-107.8007,-106.8815,0.000772,59000,51,0.0
370.0,0.8034,93.425,0.5038,94.3548,0.473,0.051718,0.3771,0.5798,-93.8818,-92.952,0.000322,120000,79,0.0
380.0,0.8252,83.875,0.5319,86.23,0.1141,0.1164,0.0,0.4563,-86.1159,-83.7609,7.8e-05,120000,79,0.0
385.0,0.836,79.1,0.514,81.4772,0.0647,0.065979,0.0,0.2586,-81.4125,-79.0353,4.5e-05,45000,39,0.0
390.0,0.8469,74.425,0.497,76.7709,0.2813,0.205807,0.0225,0.8292,-76.4897,-74.1437,0.000194,49000,43,0.0
395.0,0.8577,69.7,0.4808,72.1108,0.2199,0.015313,0.1909,0.2509,-71.8909,-69.4801,0.000152,213000,79,0.0
400.0,0.8686,65.15,0.4651,67.4979,0.5037,0.031798,0.4433,0.568,-66.9942,-64.6463,0.000351,134000,79,0.0
405.0,0.8794,60.675,0.4511,62.9788,0.4545,0.260258,0.0875,1.1077,-62.5243,-60.2205,0.000317,61000,55,0.0
410.0,0.8903,56.275,0.4383,58.554,0.9435,0.374252,0.3524,1.8195,-57.6105,-55.3315,0.000661,61000,55,0.0
415.0,0.9012,52.0,0.4264,54.2249,0.9014,0.365177,0.3277,1.7591,-53.3235,-51.0986,0.000634,63000,57,0.0
420.0,0.912,47.825,0.4162,50.0397,0.2454,0.017054,0.2131,0.2799,-49.7944,-47.5796,0.000173,146000,79,0.0
425.0,0.9229,43.875,0.4063,45.9507,0.4692,0.043399,0.388,0.5581,-45.4815,-43.4058,0.000332,146000,79,0.0
430.0,0.9337,39.95,0.3993,42.1031,0.3151,0.024039,0.2698,0.364,-41.788,-39.6349,0.000224,148000,79,0.0
435.0,0.9446,36.55,0.3928,38.4034,0.1062,0.008728,0.0898,0.124,-38.2972,-36.4438,7.6e-05,148000,79,0.0
440.0,0.9554,32.8,0.3828,34.6595,0.1433,0.144356,0.0,0.5659,-34.5162,-32.6567,0.000103,69000,63,0.0
445.0,0.9663,29.85,0.3812,31.4981,0.0627,0.063984,0.0,0.2508,-31.4354,-29.7873,4.5e-05,69000,63,0.0
450.0,0.9772,26.45,0.3594,27.3796,0.079,0.08058,0.0,0.3159,-27.3006,-26.371,5.7e-05,69000,63,0.0
455.0,0.988,23.65,0.3718,25.3425,0.4599,0.042183,0.381,0.5463,-24.8826,-23.1901,0.000333,148000,79,0.0
460.0,0.9989,21.45,0.3691,22.6394,0.7552,0.328961,0.248,1.5375,-21.8841,-20.6948,0.000548,67000,61,0.0
465.0,1.0097,18.875,0.3625,19.8939,0.3344,0.218545,0.0432,0.8999,-19.5594,-18.5406,0.000244,65000,59,0.0
470.0,1.0206,16.85,0.3664,17.9383,0.0561,0.05729,0.0,0.2246,-17.8821,-16.7939,4.1e-05,63000,57,0.0
475.0,1.0314,14.625,0.3547,15.2591,0.4361,0.049483,0.3445,0.5384,-14.823,-14.1889,0.00032,138000,79,0.0
480.0,1.0423,13.05,0.3604,13.7612,1.0805,0.390573,0.4505,1.9815,-12.6807,-11.9695,0.000796,57000,51,0.0
485.0,1.0532,11.65,0.3671,12.4691,1.1131,0.395686,0.4726,2.0236,-11.356,-10.5369,0.000823,55000,49,0.0
490.0,1.064,10.05,0.3584,10.4982,0.5549,0.278932,0.1429,1.2362,-9.9432,-9.4951,0.000412,53000,47,0.0
495.0,1.0749,9.125,0.3723,9.8606,0.0958,0.097767,0.0,0.3832,-9.7648,-9.0292,7.1e-05,132000,79,0.0
500.0,1.0857,7.9,0.3656,8.2976,0.0049,0.00421,0.0001,0.0166,-8.2927,-7.8951,4e-06,130000,79,0.0
505.0,1.0966,7.375,0.3862,8.1619,0.0068,0.004533,0.0008,0.0186,-8.155,-7.3682,5e-06,130000,79,0.0
510.0,1.1074,6.05,0.3709,6.4642,0.0608,0.062014,0.0,0.2431,-6.4034,-5.9892,4.6e-05,47000,41,0.0
515.0,1.1183,5.675,0.3855,6.1928,0.0646,0.065895,0.0,0.2583,-6.1282,-5.6104,4.9e-05,47000,41,0.0
520.0,1.1292,4.95,0.3857,5.3875,0.393,0.232124,0.0697,0.9796,-4.9945,-4.557,0.000298,43000,37,0.0
525.0,1.14,4.4,0.3901,4.8309,0.3268,0.211267,0.0439,0.872,-4.5041,-4.0732,0.000249,75000,67,0.0
530.0,1.1509,3.925,0.3944,4.3269,0.0939,0.095825,0.0,0.3756,-4.2329,-3.8311,7.2e-05,71000,63,0.0
535.0,1.1617,3.55,0.4014,3.9703,0.0534,0.054451,0.0,0.2134,-3.9169,-3.4966,4.1e-05,65000,57,0.0
540.0,1.1726,2.985,0.4009,3.4244,0.0659,0.008182,0.0509,0.0829,-3.3584,-2.9191,5.1e-05,138000,79,0.0
550.0,1.1943,2.435,0.4078,2.7261,0.0741,0.075631,0.0,0.2965,-2.652,-2.3609,5.8e-05,136000,79,0.0
555.0,1.2052,2.145,0.4063,2.3145,0.9952,0.08489,0.8358,1.1686,-1.3193,-1.1498,0.000776,53000,45,0.0
