method,epsilon,n_oracle,mean_error,std_error,mean_stderr
IQAE,0.1,429.0,2.435024794813227,0.5013335829593936,9.018839299324197
IQAE,0.05,1989.0,3.738093496240863,1.6206334505034987,5.913186353195581
IQAE,0.02,5706.0,0.757871771584225,0.3740694987278222,2.3847717915574904
IQAE,0.01,119666.66666666667,22.07214552887278,0.2687006187535942,0.22403135456950532
IQAE,0.005,328666.6666666667,22.524823529366333,0.0006163350342902486,0.029131737566443106
IQAE,0.002,329000.0,22.130616871168858,0.35139042859526143,0.044212049413242194
MLQAE,0.1,1750.0,685.800220759149,3.454531982507323,4.721870099521002
MLQAE,0.05,3400.0,680.0340699479284,0.7847526507071059,2.447870322305232
MLQAE,0.02,6650.0,498.09199406989865,122.00559953967976,1.1491406151204995
MLQAE,0.01,26200.0,411.15889979199255,2.969941336611517,0.3711949595447423
MLQAE,0.005,103800.0,409.9905277565569,0.05850460643023548,0.136053801501442
MLQAE,0.002,516000.0,881.6809126275926,159.37394971204122,0.04675141630446452
