strike,moneyness,market_mid,sigma,bs_price,iqae_price,iqae_stderr,iqae_ci_lo,iqae_ci_hi,iqae_err_bs,iqae_err_mkt,amplitude,n_oracle,circuit_depth,noise_level
350.0,0.76,0.535,0.4774,0.8056,0.553,0.039264,0.4787,0.6326,-0.2526,0.018,0.001607,29000,23,0.0
355.0,0.7709,0.455,0.4321,0.5847,0.2885,0.023438,0.2444,0.3363,-0.2961,-0.1665,0.000827,33000,27,0.0
360.0,0.7817,0.64,0.4247,0.6931,0.2836,0.02342,0.2396,0.3314,-0.4094,-0.3564,0.000801,33000,27,0.0
365.0,0.7926,0.755,0.4157,0.8033,0.6544,0.04549,0.5683,0.7466,-0.1489,-0.1006,0.001822,29000,23,0.0
370.0,0.8034,0.83,0.3984,0.8359,1.7656,0.094798,1.5847,1.9563,0.9297,0.9356,0.00485,31000,25,0.0
375.0,0.8143,1.015,0.3949,1.0419,0.4628,0.021105,0.4224,0.5051,-0.5791,-0.5522,0.001254,39000,33,0.0
380.0,0.8252,1.14,0.3798,1.1187,1.5189,0.044228,1.4335,1.6068,0.4002,0.3789,0.004061,41000,35,0.0
385.0,0.836,1.35,0.3718,1.3171,1.8234,0.049079,1.7284,1.9208,0.5063,0.4734,0.004811,43000,37,0.0
390.0,0.8469,1.585,0.363,1.5337,2.9247,0.014082,2.8972,2.9524,1.391,1.3397,0.007617,45000,39,0.0
395.0,0.8577,1.92,0.3578,1.859,2.4841,0.106704,2.2793,2.6976,0.625,0.5641,0.006386,47000,41,0.0
400.0,0.8686,2.235,0.345,2.0698,2.9656,0.077091,2.8164,3.1186,0.8958,0.7306,0.007528,45000,39,0.0
405.0,0.8794,2.785,0.3438,2.6058,2.5293,0.099686,2.3377,2.7284,-0.0765,-0.2557,0.00634,47000,41,0.0
410.0,0.8903,3.325,0.3405,3.1892,1.9276,0.111472,1.7152,2.1522,-1.2616,-1.3974,0.004772,49000,43,0.0
415.0,0.9012,3.975,0.3343,3.7786,1.9513,0.112847,1.7364,2.1787,-1.8273,-2.0237,0.004772,49000,43,0.0
420.0,0.912,4.775,0.3294,4.5092,2.6718,0.082458,2.5126,2.8359,-1.8374,-2.1032,0.006455,49000,43,0.0
425.0,0.9229,5.775,0.3273,5.4763,4.7181,0.054677,4.6116,4.8259,-0.7582,-1.0569,0.011264,59000,53,0.0
430.0,0.9337,6.875,0.3241,6.5441,6.6145,0.070239,6.4775,6.7529,0.0704,-0.2605,0.015606,65000,59,0.0
435.0,0.9446,8.2,0.3226,7.854,8.6,0.062253,8.4784,8.7224,0.7459,0.4,0.020055,67000,61,0.0
440.0,0.9554,9.575,0.3214,9.3617,8.8741,0.063846,8.7494,8.9996,-0.4877,-0.7009,0.020456,69000,63,0.0
445.0,0.9663,11.325,0.3213,11.1175,12.6062,0.080962,12.448,12.7654,1.4888,1.2812,0.02873,67000,61,0.0
450.0,0.9772,13.525,0.3228,13.1715,14.7811,0.230195,14.3332,15.2356,1.6096,1.2561,0.033308,65000,59,0.0
455.0,0.988,15.775,0.3241,15.4306,15.3529,0.363151,14.6491,16.0726,-0.0777,-0.4221,0.034212,37000,33,0.0
460.0,0.9989,18.125,0.3211,17.6494,18.5187,0.226897,18.0766,18.966,0.8693,0.3937,0.040814,37000,33,0.0
470.0,1.0206,23.625,0.3283,23.4852,22.8868,0.224309,22.4491,23.3284,-0.5984,-0.7382,0.049357,41000,37,0.0
475.0,1.0314,26.75,0.3252,26.3198,24.7588,0.179939,24.4073,25.1126,-1.561,-1.9912,0.052826,41000,37,0.0
480.0,1.0423,29.925,0.3258,29.5562,58.774,0.616887,57.5702,59.9884,29.2178,28.849,0.124084,6000,5,0.0
500.0,1.0857,45.0,0.3392,44.7035,43.8746,1.42321,41.1252,46.7041,-0.8289,-1.1254,0.088889,8000,7,0.0
